clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
"It is hereby agreed that the Lessee shall pay a security deposit of Rs. 20000/- which shall be refunded within 45 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, a refundable security deposit of Rs. 50000/- shall be collected and returned within 90 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, the staff member agrees not to join a direct competitor in the same role for 12 months post-employment within the same city.",Non-Compete,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the Lessor may impose any renewal terms unilaterally, including rent increases exceeding 100%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Monthly rent of ₹18000 shall be transferred to the landlord before the 7th of each calendar month.,Rent Payment,Rental Agreement,Safe,"Indian Contract Act, 1872",India
"As per the terms of this Agreement, the Tenant shall forfeit the entire security deposit of Rs. 40000/- if the premises are vacated before the 9-month lock-in period.",Lock-in Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"It is hereby agreed that this Agreement may be terminated by the Landlord on breach of any term, subject to a 60-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the Tenant shall be liable for all structural repairs and damages during the tenancy, irrespective of cause.",Maintenance,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, intellectual property created by the staff member, including outside working hours if related to company business, may be claimed by the Employer.",Intellectual Property,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the Lender may hold the collateral for an additional 60 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The security deposit of Rs. 25000/- paid by the Lessee shall be non-refundable under any circumstances.,Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, this Agreement may be terminated by the Landlord on breach of any term, subject to a 10-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Any matter concerning recovery shall be documented in writing. Clause 70.,Recovery,Loan Agreement,Safe,"SARFAESI Act, 2002",India
Minor repairs up to Rs. 3500/- shall be borne by the occupant; major repairs shall be borne by the property owner.,Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the appointment of the staff member is subject to verification of documents and may be revised by the Company.",Appointment,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the Landlord may terminate this Agreement and demand vacation of premises with less than 20 days notice.",Notice Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Lender may revise conditions relating to force majeure where permitted by law. Clause 26.,Force Majeure,Loan Agreement,Caution,"Indian Contract Act, 1872",India
"Under this clause, repayment terms of 9 months are subject to change by the financial institution with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, this Agreement may be terminated by mutual written consent of both the Lessor and the Tenant.",Termination,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employer shall provide clear guidelines regarding working hours. Clause 244.,Working Hours,Employment Agreement,Safe,"Occupational Safety, Health and Working Conditions Code, 2020",India
"Under this clause, maintenance responsibilities shall be shared between the Landlord and the Tenant as mutually agreed from time to time.",Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
